text,id,screenname,retweetCount,isRetweet
Kaya nga. It was one of the most meaningful travel I've learned... #ADDLiveBibleExpo  https://t.co/6hxKPFov19,8.30E+17,Alsie,1,FALSE
"RT @BBCWorld: Donald Trump loses appeal court bid to reinstate travel ban

https://t.co/tpJrBoQbo3 https://t.co/J1kdJtuc5F",8.30E+17,MrDewdney,477,TRUE
You know when you need to plan a trip &amp; you get emails about airline sales. I mean it's so cheap it almost seems wrong not to travel...<ed><U+00A0><U+00BD><ed><U+00B8><U+008E>,8.30E+17,WritingForFun,0,FALSE
RT @drwaheeduddin: @Braveheart_USA @realDonaldTrump @steph93065 @AppSame @CarmineZozzora See how many times other Presidents banned travel;?,8.30E+17,evelynprtr63,24,TRUE
"RT @DaiSyed_: .
TAZKIRAH.<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>-DaiSyed-
______
Kerna itu saya Suka Travel.<ed><U+00A0><U+00BC><ed><U+00BF><U+0084><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
#TazkirahDaiSyed
#DaiSyed
#SyedatWork https://t.co/Aw4ZN7ozDr",8.30E+17,Kieela,163,TRUE
"RT @CNN: President Trump tweets: ""SEE YOU IN COURT""

WA state AG responds: ""We've seen him in court twice, and we're 2 for 2"" https://t.co/?",8.30E+17,Nerdageddonccc,12592,TRUE
I travel the world without taking a dime out of my pocket! Discover how you can too?  https://t.co/YUvTiAuEU1? https://t.co/UVS6unCPIt,8.30E+17,SeriouslyTravel,0,FALSE
"RT @CNN: She is the first woman to travel to all 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,deeloveschoco,314,TRUE
"RT @CNN: She is the first woman to travel to all 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,beyonchayyy,314,TRUE
Please RT #viajes #viajar #travel Ruta Carlos V ? Oto§ada 2016 https://t.co/Zg5aTzHEEH https://t.co/X2jvUBxs8h,8.30E+17,blogsturismoram,0,FALSE
RT @NPRinskeep: At 607 ET we talk with @JonahNRO about the appeals court ruling against the @POTUS travel ban. Here'e the @NRO view: https:?,8.30E+17,rab1432,8,TRUE
"RT @Jollyreti: Tokyo International Forum by Shingo, #travel, #nature https://t.co/nKRdYztYZJ",8.30E+17,tsgriffin_scott,8,TRUE
"RT @CNN: President Trump tweets: ""SEE YOU IN COURT""

WA state AG responds: ""We've seen him in court twice, and we're 2 for 2"" https://t.co/?",8.30E+17,cfoley_4,12592,TRUE
"RT @JoyAnnReid: Carter, Obama and George W. Bush appointees on the 9th Circuit were unanimous in rejecting Trump's bid to reinstate the tra?",8.30E+17,MissNadia619,3707,TRUE
"RT @CNN: She is the first woman to travel to all 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,Libravance679,314,TRUE
Your mind is your prison when you focus on your fear. - Tim Fargo #quote,8.30E+17,Thomsons_Travel,0,FALSE
"Travel Clinic @SafedaleLtd available at 59 Lower Clapton Road #Travel #vaccination #HACKNEY
https://t.co/VJlLgnM8kE",8.30E+17,SafedaleLtd,0,FALSE
"RT @TheSayingTruth: Read this Good News: Andaman Islands to be connected by Indian Railways.

#India2017 #Tour &amp; #Travel @ #Natures Life
ht?",8.30E+17,KapilDahiya17,34,TRUE
USA APPEAL COURT RULES AGAINST TRUMP ON TRAVEL BAN https://t.co/o6fCFvu8PQ,8.30E+17,PaygesFeed,0,FALSE
"RT @CNN: She is the first woman to travel to all 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,laurenhundley16,314,TRUE
"RT @CNN: She is the first woman to travel to all 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,Marcelia2108,314,TRUE
KILL YOUR TELEVISION!  #Travel more!  @wheresmapinfo https://t.co/ZXApCVhz2y,8.30E+17,ClovisStarMedia,0,FALSE
Please RT #viajes #viajar #travel El Sal¢n inmobiliario de Viviendas y Decoraci¢n de Cantabria? https://t.co/oC8NdedRyI,8.30E+17,turismorama,0,FALSE
"RT @Jollyreti: Pure Nature! by Jack Orion, #travel, #nature https://t.co/2a2FIhkcFv",8.30E+17,tsgriffin_scott,8,TRUE
KILL YOUR TELEVISION!  #Travel more!  @wheresmapinfo https://t.co/caITeQDcbz,8.30E+17,hashawards,0,FALSE
It doesn't matter where you're going. It's who you have beside you. #travel #inspiration https://t.co/YzOygvBynJ,8.30E+17,betsywuebker,0,FALSE
Japan's most extravagant light display https://t.co/LNzx5vlhAY,8.30E+17,cartoons_fans_,0,FALSE
"Trump's travel ban is probably legal. But it's also a hopeless, distracting disaster https://t.co/fXtioT83Ot",8.30E+17,inteldose,0,FALSE
Appeals Court Rejects Bid To Reinstate Trump's Travel Ban https://t.co/j6a6JVdnvN,8.30E+17,KEDMPublicRadio,0,FALSE
#Croatia travel guide - Dubrovnik &amp; Southern Dalmatia (PDF Chapter) Lonely Planet https://t.co/ki2604xBW6 https://t.co/hf2N7AsvPz,8.30E+17,ebook_travel,0,FALSE
RT @Daily_Express: Visa news: Travellers have to give FINGERPRINT ID to get into CHINA https://t.co/DUmyzCWhEG https://t.co/D5rTE3icKT,8.30E+17,politicswatch15,4,TRUE
RT @emcardco: SkyPixel Contest: The Best #Drone Photography of 2016 https://t.co/OwQKRDiARh #Wanderlust #Backpacking #Travel https://t.co/n?,8.30E+17,JustLaunChes,3,TRUE
RT @TheBucktList: Let's travel the world <ed><U+00A0><U+00BC><ed><U+00BC><U+008D><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB> https://t.co/gYvyx2psed,8.30E+17,SyazwanSabran_,195,TRUE
"RT @LUVurbanattire: Blue Bomber Jacket <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
Shop https://t.co/aGIdqDe0Ak for this
@Urbanattires https://t.co/DrtpjM3RCG",8.30E+17,Travel_lot,3835,TRUE
"RT @PrisonPlanet: Bercow welcomed the Emir of Kuwait, a country that throws gays in prison, but banned Trump 'because bigotry'. https://t.c?",8.30E+17,tiggerroo1,2526,TRUE
Good news can travel fast. https://t.co/ZyvU7FY9EU,8.30E+17,brianmacian,0,FALSE
"RT @POLITICSandFUN: #BOYCOTTSTARBUCKS

""Starbucks offers to pay legal fees for employees affected by Trump?s temporary travel order"" https:?",8.30E+17,Airmanfirst,6,TRUE
"RT @AAPExpress: BREAKING

Delhi HC directs that BSF jawan Tej Bahadur Yadav's wife be allowed to travel to J&amp;K to meet him and stay overnig?",8.30E+17,commonmansjob,18,TRUE
Bites: A New Paris Bistro Equal Parts Convivial and Tasty https://t.co/2xlMi92DyA #travel,8.30E+17,museumtraveller,0,FALSE
"RT @CNN: President Trump tweets: ""SEE YOU IN COURT""

WA state AG responds: ""We've seen him in court twice, and we're 2 for 2"" https://t.co/?",8.30E+17,pertileflow,12592,TRUE
"Check In: In Charleston, Evoking a Bygone Jazz Age With a Modern Touch https://t.co/2Q44cLEOr5 #travel",8.30E+17,museumtraveller,0,FALSE
<U+7D76><U+666F><U+9298><U+9053>2017<U+8CB7><U+3044><U+307E><U+3057><U+305F>!<U+9053><U+8DEF><U+540D><U+52DD><U+3068><U+3044><U+3048><U+3070><U+3001><U+5DDD><U+539F><U+3055><U+3093><U+306E><U+30A6><U+30A7><U+30D6><U+30B5><U+30A4><U+30C8><U+304C><U+6614><U+304B><U+3089><U+305A><U+3063><U+3068><U+61A7><U+308C><U+3067><U+3057><U+305F>!  https://t.co/LYKQoCsifk https://t.co/3s5YqaN2KH,8.30E+17,roadjapan,0,FALSE
